dataset,num_bins,bin_hours,lambda0_mean,baseline_mean_events_per_step,baseline_min_events_per_step,baseline_max_events_per_step,K0,omega,rho,iterations,probability_max_error,branching_ratio,triggered_fraction,accepted,initialized_from_bins84
Lifetime-first14days,84,4,0.000517449567637518,4.28499986960629,1.18453253577605,10.1645408248207,1.49056805578539,0.778922248281882,0.0225297906210148,35,2.22044604925031e-16,0.0813463351809142,0.081376939630961,1,false
Lifetime-last14days,84,4,0.00074553178886439,6.17374874358601,0.713279266640442,11.8796294617857,0.256244295967992,0.840877171264882,0.0228618769973497,80,1.11022302462516e-16,0.021519067054293,0.0215093021796884,1,false
Lifetime-first14days,42,8,0.000514370240488015,4.25949996148125,1.41479754485317,7.46174685161579,1.59080043086499,0.77885938205515,0.0221138263894696,8,2.22044604925031e-16,0.0868132161061086,0.0868485235115949,1,true
Lifetime-last14days,42,8,0.000742247521877763,6.14655172866976,1.36756135063308,10.4450170768206,0.307762343392119,0.839801090777019,0.0223754911698853,41,1.11022302462516e-16,0.0258295373429062,0.0258414545774162,1,true
